  0.00000E+00  2.16627E-05  2.04251E+01 -3.11776E-04
  2.28000E-01  2.76173E-01  2.25209E+01  4.00461E+00
  2.29000E-01  2.82867E-01  2.26122E+01  4.00992E+00
  2.30000E-01  2.87811E-01  2.26720E+01  4.03256E+00
  2.31000E-01  2.95100E-01  2.27029E+01  4.08734E+00
  2.32000E-01  3.01382E-01  2.27194E+01  4.13651E+00
  2.33000E-01  3.06317E-01  2.27945E+01  4.15868E+00
  2.34000E-01  3.13827E-01  2.28461E+01  4.15968E+00
  2.35000E-01  3.21055E-01  2.29292E+01  4.16184E+00
  2.36000E-01  3.29222E-01  2.30250E+01  4.16113E+00
  2.37000E-01  3.37052E-01  2.31630E+01  4.16588E+00
  2.38000E-01  3.45413E-01  2.32980E+01  4.19480E+00
  2.39000E-01  3.52786E-01  2.33579E+01  4.23794E+00
  2.40000E-01  3.58942E-01  2.34032E+01  4.26648E+00
  2.41000E-01  3.67353E-01  2.34460E+01  4.29160E+00
  2.42000E-01  3.73547E-01  2.34459E+01  4.33052E+00
  2.43000E-01  3.83436E-01  2.35935E+01  4.36267E+00
  2.44000E-01  3.92731E-01  2.36836E+01  4.36756E+00
  2.45000E-01  4.01923E-01  2.38547E+01  4.36932E+00
  2.46000E-01  4.10259E-01  2.40101E+01  4.38585E+00
  2.47000E-01  4.21045E-01  2.41282E+01  4.42421E+00
  2.48000E-01  4.28095E-01  2.41748E+01  4.44548E+00
  2.49000E-01  4.40260E-01  2.42267E+01  4.48217E+00
  2.50000E-01  4.47537E-01  2.42646E+01  4.50358E+00
  2.51000E-01  4.56872E-01  2.43342E+01  4.51796E+00
  2.52000E-01  4.67634E-01  2.46338E+01  4.55664E+00
  2.53000E-01  4.80480E-01  2.47766E+01  4.55921E+00
  2.54000E-01  4.94727E-01  2.49693E+01  4.57148E+00
  2.55000E-01  4.99631E-01  2.49368E+01  4.58582E+00
  2.56000E-01  5.12313E-01  2.50390E+01  4.61857E+00
  2.57000E-01  5.23071E-01  2.51308E+01  4.66145E+00
  2.58000E-01  5.39416E-01  2.54706E+01  4.71364E+00
  2.59000E-01  5.49903E-01  2.55899E+01  4.72794E+00
  2.60000E-01  5.60673E-01  2.57265E+01  4.72612E+00
  2.61000E-01  5.76134E-01  2.58305E+01  4.74424E+00
  2.62000E-01  5.88462E-01  2.60479E+01  4.79859E+00
  2.63000E-01  5.98076E-01  2.60907E+01  4.81803E+00
  2.64000E-01  6.12898E-01  2.61958E+01  4.82039E+00
  2.65000E-01  6.28112E-01  2.64220E+01  4.84102E+00
  2.66000E-01  6.46645E-01  2.67469E+01  4.89517E+00
  2.67000E-01  6.61525E-01  2.70181E+01  4.93983E+00
  2.68000E-01  6.75750E-01  2.70658E+01  4.94926E+00
  2.69000E-01  6.89431E-01  2.72106E+01  4.96167E+00
  2.70000E-01  7.09044E-01  2.76025E+01  5.00968E+00
  2.71000E-01  7.24298E-01  2.77564E+01  5.03822E+00
  2.72000E-01  7.37842E-01  2.77611E+01  5.04141E+00
  2.73000E-01  7.51394E-01  2.78112E+01  5.04295E+00
  2.74000E-01  7.73996E-01  2.82993E+01  5.09436E+00
  2.75000E-01  7.95887E-01  2.87348E+01  5.16624E+00
  2.76000E-01  8.13362E-01  2.88917E+01  5.18556E+00
  2.77000E-01  8.34290E-01  2.90840E+01  5.19099E+00
  2.78000E-01  8.50657E-01  2.91768E+01  5.19234E+00
  2.79000E-01  8.68523E-01  2.92194E+01  5.19391E+00
  2.80000E-01  8.90306E-01  2.95716E+01  5.23097E+00
  2.81000E-01  9.16732E-01  2.99879E+01  5.28677E+00
  2.82000E-01  9.38899E-01  3.02857E+01  5.32124E+00
  2.83000E-01  9.63755E-01  3.06538E+01  5.35141E+00
  2.84000E-01  9.87902E-01  3.09190E+01  5.38591E+00
  2.85000E-01  1.01401E+00  3.13230E+01  5.42005E+00
  2.86000E-01  1.03845E+00  3.16676E+01  5.44529E+00
  2.87000E-01  1.06215E+00  3.18051E+01  5.46284E+00
  2.88000E-01  1.09002E+00  3.22074E+01  5.50158E+00
  2.89000E-01  1.12257E+00  3.27819E+01  5.55096E+00
  2.90000E-01  1.15847E+00  3.33033E+01  5.59792E+00
  2.91000E-01  1.17897E+00  3.34560E+01  5.61669E+00
  2.92000E-01  1.20651E+00  3.35578E+01  5.62147E+00
  2.93000E-01  1.23771E+00  3.40132E+01  5.64350E+00
  2.94000E-01  1.27293E+00  3.45403E+01  5.69443E+00
  2.95000E-01  1.31179E+00  3.51016E+01  5.73860E+00
  2.96000E-01  1.34247E+00  3.54625E+01  5.76001E+00
  2.97000E-01  1.38544E+00  3.59854E+01  5.80592E+00
  2.98000E-01  1.41721E+00  3.63934E+01  5.83436E+00
  2.99000E-01  1.45896E+00  3.68501E+01  5.86253E+00
  3.00000E-01  1.50028E+00  3.74623E+01  5.89005E+00
  3.01000E-01  1.54349E+00  3.80186E+01  5.94275E+00
  3.02000E-01  1.58506E+00  3.84854E+01  5.96887E+00
  3.03000E-01  1.62895E+00  3.90196E+01  6.00318E+00
  3.04000E-01  1.67955E+00  3.97155E+01  6.03937E+00
  3.05000E-01  1.72689E+00  4.02783E+01  6.08556E+00
  3.06000E-01  1.77339E+00  4.08217E+01  6.11265E+00
  3.07000E-01  1.82726E+00  4.15053E+01  6.14524E+00
  3.08000E-01  1.88437E+00  4.22900E+01  6.18272E+00
  3.09000E-01  1.93683E+00  4.27951E+01  6.22583E+00
  3.10000E-01  2.00077E+00  4.36987E+01  6.25551E+00
  3.11000E-01  2.06021E+00  4.44461E+01  6.30255E+00
  3.12000E-01  2.12146E+00  4.51044E+01  6.33743E+00
  3.13000E-01  2.18477E+00  4.58514E+01  6.36862E+00
  3.14000E-01  2.25432E+00  4.67908E+01  6.41170E+00
